file,defect_type,detail
4x4-truss-bench.json,tier-overstated,tier-overstated: TIER_3 but costMax 13000 -> TIER_2
4x4-x-base-pedestal-table.json,tier-overstated,tier-overstated: TIER_4 but costMax 34000 -> TIER_3
4x8-chicken-coop.json,published-no-image,published-no-image
adirondack-chair.json,published-no-image,published-no-image
apothecary-coffee-table-toybox-trundle.json,tier-overstated,tier-overstated: TIER_4 but costMax 28000 -> TIER_3
balustrade-coffee-table.json,tier-overstated,tier-overstated: TIER_4 but costMax 32000 -> TIER_3
barn-bird-house-and-feeder.json,published-no-image,published-no-image
barn-door-cabinet-with-hooks.json,tier-overstated,tier-overstated: TIER_5 but costMax 50000 -> TIER_4
better-bee-house.json,published-no-image,published-no-image
better-bee-house.json,board-feet-unit-variant,board-feet-unit-variant: board ft
built-in-bookcases.json,published-no-image,published-no-image
campaign-style-storage-box.json,published-no-image,published-no-image
camper-napkin-holder.json,published-no-image,published-no-image
camper-napkin-holder.json,board-feet-unit-variant,board-feet-unit-variant: board ft
catch-all-tray.json,published-no-image,published-no-image
catch-all-tray.json,board-feet-unit-variant,board-feet-unit-variant: board ft
cedar-mailbox-with-corbels.json,published-no-image,published-no-image
cedar-planter-box.json,published-no-image,published-no-image
cedar-raised-garden-bed.json,published-no-image,published-no-image
charlie-nightstand.json,published-no-image,published-no-image
cherry-serving-board-with-juice-groove.json,published-no-image,published-no-image
circle-cutting-jig.json,published-no-image,published-no-image
classic-coffee-table-two-drawers-shelf.json,tier-overstated,tier-overstated: TIER_4 but costMax 34000 -> TIER_3
classic-picnic-table.json,published-no-image,published-no-image
corner-desk.json,published-no-image,published-no-image
corona-coffee-table-square.json,tier-overstated,tier-overstated: TIER_4 but costMax 28000 -> TIER_3
counter-height-fancy-x-farmhouse-table.json,tier-overstated,tier-overstated: TIER_4 but costMax 28000 -> TIER_3
crosscut-sled.json,published-no-image,published-no-image
custom-laminated-canoe-paddle.json,published-no-image,published-no-image
custom-laminated-canoe-paddle.json,board-feet-unit-variant,board-feet-unit-variant: board ft
cutting-board-storage-rack.json,published-no-image,published-no-image
dachshund-cd-holder.json,published-no-image,published-no-image
dachshund-cd-holder.json,board-feet-unit-variant,board-feet-unit-variant: board ft
demilune-dining-table.json,published-no-image,published-no-image
diy-buffet-table.json,published-no-image,published-no-image
diy-mod-clock.json,published-no-image,published-no-image
diy-router-table.json,published-no-image,published-no-image
diy-wooden-tool-box.json,published-no-image,published-no-image
dovetailed-keepsake-box.json,published-no-image,published-no-image
edge-grain-maple-cutting-board.json,published-no-image,published-no-image
end-grain-walnut-maple-butcher-block.json,published-no-image,published-no-image
entryway-storage-bench.json,published-no-image,published-no-image
essential-outdoor-chair.json,unpriced-material,unpriced-material: Standard outdoor seat and back cushions
farmhouse-dining-table.json,published-no-image,published-no-image
farmhouse-hall-tree.json,tier-overstated,tier-overstated: TIER_4 but costMax 28000 -> TIER_3
farmhouse-indoor-playhouse.json,tier-overstated,tier-overstated: TIER_4 but costMax 35000 -> TIER_3
